submission_id,RT,age,comments,education,endTime,gender,languages,picture,question0,question1,question2,question3,question4,startDate,startTime,timeSpent,trial_name,trial_number,yesno-choice0,yesno-choice1,yesno-choice2,yesno-choice3,yesno-choice4
293,67857,43,,Higher Degree,1.66185E+12,FEMALE,ENGLISH,images/UPHazard0DOWNHazard100.gif,The appearance of the rock <strong>allowed</strong> the farmer to reach the <strong>apple</strong>.,The appearance of the rock <strong>got</strong> the farmer to reach the <strong>apple</strong>.,The appearance of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,The appearance of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The wizard <strong>moved</strong> his wand.,Tue Aug 30 2022 05:14:32 GMT-0500 (Central Daylight Time),1.66185E+12,6.259416667,slider_rating,1,no,no,yes,no,yes
293,49031,43,,Higher Degree,1.66185E+12,FEMALE,ENGLISH,images/DOWNHazard100DOWNHazard0.gif,The disappearance of the rock <strong>allowed</strong> the farmer to reach the <strong>apple</strong>.,The disappearance of the rock <strong>got</strong> the farmer to reach the <strong>apple</strong>.,The disappearance of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,The disappearance of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The wizard <strong>moved</strong> his wand.,Tue Aug 30 2022 05:14:32 GMT-0500 (Central Daylight Time),1.66185E+12,6.259416667,slider_rating,2,no,no,no,no,yes
293,37783,43,,Higher Degree,1.66185E+12,FEMALE,ENGLISH,images/DOWNHazard100DOWNHazard100.gif,The presence of the rock <strong>allowed</strong> the farmer to reach the <strong>apple</strong>.,The presence of the rock <strong>got</strong> the farmer to reach the <strong>apple</strong>.,The presence of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,The presence of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The wizard <strong>moved</strong> his wand.,Tue Aug 30 2022 05:14:32 GMT-0500 (Central Daylight Time),1.66185E+12,6.259416667,slider_rating,3,no,no,no,no,no
293,34441,43,,Higher Degree,1.66185E+12,FEMALE,ENGLISH,images/DOWNHazard100UPHazard0.gif,The disappearance of the rock <strong>allowed</strong> the farmer to reach the <strong>apple</strong>.,The disappearance of the rock <strong>got</strong> the farmer to reach the <strong>apple</strong>.,The disappearance of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,The disappearance of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The wizard <strong>moved</strong> his wand.,Tue Aug 30 2022 05:14:32 GMT-0500 (Central Daylight Time),1.66185E+12,6.259416667,slider_rating,4,yes,yes,no,yes,yes
293,38425,43,,Higher Degree,1.66185E+12,FEMALE,ENGLISH,images/DOWNHazard0DOWNHazard0.gif,The absence of the rock <strong>allowed</strong> the farmer to reach the <strong>apple</strong>.,The absence of the rock <strong>got</strong> the farmer to reach the <strong>apple</strong>.,The absence of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,The absence of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The wizard <strong>moved</strong> his wand.,Tue Aug 30 2022 05:14:32 GMT-0500 (Central Daylight Time),1.66185E+12,6.259416667,slider_rating,5,no,no,no,no,no
293,35449,43,,Higher Degree,1.66185E+12,FEMALE,ENGLISH,images/UPHazard0UPHazard0.gif,The absence of the rock <strong>allowed</strong> the farmer to reach the <strong>apple</strong>.,The absence of the rock <strong>got</strong> the farmer to reach the <strong>apple</strong>.,The absence of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,The absence of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The wizard <strong>moved</strong> his wand.,Tue Aug 30 2022 05:14:32 GMT-0500 (Central Daylight Time),1.66185E+12,6.259416667,slider_rating,6,yes,yes,no,no,no
293,33031,43,,Higher Degree,1.66185E+12,FEMALE,ENGLISH,images/DOWNHazard0DOWNHazard100.gif,The appearance of the rock <strong>allowed</strong> the farmer to reach the <strong>apple</strong>.,The appearance of the rock <strong>got</strong> the farmer to reach the <strong>apple</strong>.,The appearance of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,The appearance of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The wizard <strong>moved</strong> his wand.,Tue Aug 30 2022 05:14:32 GMT-0500 (Central Daylight Time),1.66185E+12,6.259416667,slider_rating,7,no,no,no,no,yes
294,40892,45,Thank you,Graduated High School,1.66186E+12,Female,English,images/UPHazard0DOWNHazard100.gif,The wizard <strong>moved</strong> his wand.,The appearance of the rock <strong>enabled</strong> the farmer to reach the <strong>apple</strong>.,The appearance of the rock <strong>blocked</strong> the farmer from reaching the <strong>apple</strong>.,The appearance of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The appearance of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,Tue Aug 30 2022 05:23:06 GMT-0500 (Central Daylight Time),1.66185E+12,5.031966667,slider_rating,1,yes,no,yes,no,yes
294,28210,45,Thank you,Graduated High School,1.66186E+12,Female,English,images/DOWNHazard100DOWNHazard100.gif,The wizard <strong>moved</strong> his wand.,The presence of the rock <strong>enabled</strong> the farmer to reach the <strong>apple</strong>.,The presence of the rock <strong>blocked</strong> the farmer from reaching the <strong>apple</strong>.,The presence of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The presence of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,Tue Aug 30 2022 05:23:06 GMT-0500 (Central Daylight Time),1.66185E+12,5.031966667,slider_rating,2,no,no,yes,no,no
294,23668,45,Thank you,Graduated High School,1.66186E+12,Female,English,images/DOWNHazard0DOWNHazard0.gif,The wizard <strong>moved</strong> his wand.,The absence of the rock <strong>enabled</strong> the farmer to reach the <strong>apple</strong>.,The absence of the rock <strong>blocked</strong> the farmer from reaching the <strong>apple</strong>.,The absence of the rock <strong>caused</strong> the farmer to reach the <strong>apple</strong>.,The absence of the rock <strong>stopped</strong> the farmer from reaching the <strong>apple</strong>.,Tue Aug 30 2022 05:23:06 GMT-0500 (Central Daylight Time),1.66185E+12,5.031966667,slider_rating,3,no,no,no,no,no
